state_ID,year,population
AK,2018,735000
AK,2017,740000
AK,2016,741000
AK,2015,737000
AK,2014,736000
AK,2013,737000
AK,2012,730000
AK,2011,722000
AK,2010,714000
AK,2009,699000
AK,2008,687000
AK,2007,680000
AK,2006,675000
AK,2005,667000
AK,2004,659000
AK,2003,648000
AK,2002,642000
AK,2001,634000
AK,2000,628000
AK,1999,625000
AK,1998,620000
AK,1997,613000
AK,1996,609000
AK,1995,604000
AK,1994,603000
AK,1993,599000
AK,1992,589000
AK,1991,570000
AK,1990,553000
AK,1989,547000
AK,1988,542000
AK,1987,539000
AK,1986,544000
AK,1985,532000
AK,1984,514000
AK,1983,488000
AK,1982,450000
AK,1981,418000
AK,1980,405000
AK,1979,403000
AK,1978,405000
AK,1977,403000
AK,1976,401000
AK,1975,376000
AK,1974,341000
AK,1973,331000
AK,1972,324000
AK,1971,316000
AK,1970,304000
AK,1969,296000
AK,1968,285000
AK,1967,278000
AK,1966,271000
AK,1965,271000
AK,1964,263000
AK,1963,256000
AK,1962,246000
AK,1961,238000
AK,1960,229000
AL,2018,4888000
AL,2017,4874000
AL,2016,4864000
AL,2015,4852000
AL,2014,4842000
AL,2013,4830000
AL,2012,4816000
AL,2011,4799000
AL,2010,4785000
AL,2009,4758000
AL,2008,4718000
AL,2007,4673000
AL,2006,4629000
AL,2005,4570000
AL,2004,4531000
AL,2003,4503000
AL,2002,4480000
AL,2001,4468000
AL,2000,4452000
AL,1999,4430000
AL,1998,4405000
AL,1997,4368000
AL,1996,4331000
AL,1995,4297000
AL,1994,4260000
AL,1993,4214000
AL,1992,4154000
AL,1991,4099000
AL,1990,4050000
AL,1989,4030000
AL,1988,4024000
AL,1987,4015000
AL,1986,3992000
AL,1985,3973000
AL,1984,3952000
AL,1983,3934000
AL,1982,3925000
AL,1981,3919000
AL,1980,3900000
AL,1979,3866000
AL,1978,3832000
AL,1977,3780000
AL,1976,3735000
AL,1975,3679000
AL,1974,3626000
AL,1973,3580000
AL,1972,3539000
AL,1971,3497000
AL,1970,3451000
AL,1969,3440000
AL,1968,3446000
AL,1967,3458000
AL,1966,3464000
AL,1965,3443000
AL,1964,3395000
AL,1963,3358000
AL,1962,3323000
AL,1961,3316000
AL,1960,3274000
CA,2018,39462000
CA,2017,39358000
CA,2016,39167000
CA,2015,38918000
CA,2014,38597000
CA,2013,38261000
CA,2012,37949000
CA,2011,37642000
CA,2010,37320000
CA,2009,36961000
CA,2008,36604000
CA,2007,36250000
CA,2006,36021000
CA,2005,35828000
CA,2004,35575000
CA,2003,35253000
CA,2002,34872000
CA,2001,34479000
CA,2000,33988000
CA,1999,33499000
CA,1998,32988000
CA,1997,32486000
CA,1996,32019000
CA,1995,31697000
CA,1994,31484000
CA,1993,31275000
CA,1992,30975000
CA,1991,30471000
CA,1990,29960000
CA,1989,29218000
CA,1988,28464000
CA,1987,27777000
CA,1986,27102000
CA,1985,26441000
CA,1984,25844000
CA,1983,25360000
CA,1982,24820000
CA,1981,24286000
CA,1980,23801000
CA,1979,23257000
CA,1978,22836000
CA,1977,22352000
CA,1976,21936000
CA,1975,21538000
CA,1974,21174000
CA,1973,20869000
CA,1972,20585000
CA,1971,20346000
CA,1970,20007000
CA,1969,19711000
CA,1968,19394000
CA,1967,19176000
CA,1966,18858000
CA,1965,18585000
CA,1964,18151000
CA,1963,17668000
CA,1962,17072000
CA,1961,16497000
CA,1960,15870000
DC,2018,702000
DC,2017,695000
DC,2016,686000
DC,2015,675000
DC,2014,662000
DC,2013,651000
DC,2012,635000
DC,2011,620000
DC,2010,605000
DC,2009,592000
DC,2008,580000
DC,2007,574000
DC,2006,571000
DC,2005,567000
DC,2004,568000
DC,2003,569000
DC,2002,573000
DC,2001,575000
DC,2000,572000
DC,1999,570000
DC,1998,565000
DC,1997,568000
DC,1996,572000
DC,1995,581000
DC,1994,589000
DC,1993,595000
DC,1992,598000
DC,1991,601000
DC,1990,605000
DC,1989,624000
DC,1988,630000
DC,1987,637000
DC,1986,638000
DC,1985,635000
DC,1984,633000
DC,1983,632000
DC,1982,634000
DC,1981,637000
DC,1980,638000
DC,1979,650000
DC,1978,665000
DC,1977,677000
DC,1976,692000
DC,1975,707000
DC,1974,718000
DC,1973,731000
DC,1972,742000
DC,1971,750000
DC,1970,756000
DC,1969,762000
DC,1968,778000
DC,1967,791000
DC,1966,791000
DC,1965,797000
DC,1964,798000
DC,1963,798000
DC,1962,788000
DC,1961,778000
DC,1960,765000
MN,2018,5606000
MN,2017,5566000
MN,2016,5523000
MN,2015,5482000
MN,2014,5451000
MN,2013,5413000
MN,2012,5377000
MN,2011,5346000
MN,2010,5311000
MN,2009,5281000
MN,2008,5247000
MN,2007,5207000
MN,2006,5164000
MN,2005,5120000
MN,2004,5088000
MN,2003,5054000
MN,2002,5019000
MN,2001,4983000
MN,2000,4934000
MN,1999,4873000
MN,1998,4813000
MN,1997,4763000
MN,1996,4713000
MN,1995,4660000
MN,1994,4610000
MN,1993,4556000
MN,1992,4496000
MN,1991,4441000
MN,1990,4390000
MN,1989,4338000
MN,1988,4296000
MN,1987,4235000
MN,1986,4205000
MN,1985,4184000
MN,1984,4158000
MN,1983,4141000
MN,1982,4131000
MN,1981,4112000
MN,1980,4085000
MN,1979,4050000
MN,1978,4015000
MN,1977,3989000
MN,1976,3965000
MN,1975,3933000
MN,1974,3904000
MN,1973,3889000
MN,1972,3870000
MN,1971,3853000
MN,1970,3815000
MN,1969,3758000
MN,1968,3703000
MN,1967,3659000
MN,1966,3617000
MN,1965,3592000
MN,1964,3558000
MN,1963,3531000
MN,1962,3513000
MN,1961,3470000
MN,1960,3425000
LA,2018,4660000
LA,2017,4671000
LA,2016,4678000
LA,2015,4665000
LA,2014,4644000
LA,2013,4625000
LA,2012,4601000
LA,2011,4575000
LA,2010,4545000
LA,2009,4492000
LA,2008,4436000
LA,2007,4376000
LA,2006,4303000
LA,2005,4577000
LA,2004,4552000
LA,2003,4521000
LA,2002,4497000
LA,2001,4478000
LA,2000,4472000
LA,1999,4461000
LA,1998,4440000
LA,1997,4421000
LA,1996,4399000
LA,1995,4379000
LA,1994,4347000
LA,1993,4316000
LA,1992,4293000
LA,1991,4253000
LA,1990,4222000
LA,1989,4253000
LA,1988,4289000
LA,1987,4344000
LA,1986,4407000
LA,1985,4408000
LA,1984,4400000
LA,1983,4395000
LA,1982,4353000
LA,1981,4283000
LA,1980,4223000
LA,1979,4138000
LA,1978,4069000
LA,1977,4014000
LA,1976,3951000
LA,1975,3886000
LA,1974,3820000
LA,1973,3788000
LA,1972,3762000
LA,1971,3710000
LA,1970,3652000
LA,1969,3619000
LA,1968,3603000
LA,1967,3581000
LA,1966,3550000
LA,1965,3496000
LA,1964,3446000
LA,1963,3377000
LA,1962,3345000
LA,1961,3287000
LA,1960,3260000
HI,2018,1421000
HI,2017,1424000
HI,2016,1428000
HI,2015,1422000
HI,2014,1415000
HI,2013,1408000
HI,2012,1395000
HI,2011,1379000
HI,2010,1364000
HI,2009,1347000
HI,2008,1332000
HI,2007,1316000
HI,2006,1310000
HI,2005,1293000
HI,2004,1274000
HI,2003,1251000
HI,2002,1240000
HI,2001,1226000
HI,2000,1214000
HI,1999,1210000
HI,1998,1215000
HI,1997,1212000
HI,1996,1204000
HI,1995,1197000
HI,1994,1188000
HI,1993,1173000
HI,1992,1159000
HI,1991,1137000
HI,1990,1113000
HI,1989,1095000
HI,1988,1080000
HI,1987,1068000
HI,1986,1052000
HI,1985,1040000
HI,1984,1028000
HI,1983,1013000
HI,1982,994000
HI,1981,978000
HI,1980,968000
HI,1979,953000
HI,1978,932000
HI,1977,918000
HI,1976,904000
HI,1975,886000
HI,1974,868000
HI,1973,852000
HI,1972,828000
HI,1971,802000
HI,1970,774000
HI,1969,750000
HI,1968,734000
HI,1967,723000
HI,1966,710000
HI,1965,704000
HI,1964,700000
HI,1963,682000
HI,1962,684000
HI,1961,659000
HI,1960,642000
IN,2018,6695000
IN,2017,6658000
IN,2016,6634000
IN,2015,6608000
IN,2014,6594000
IN,2013,6569000
IN,2012,6538000
IN,2011,6516000
IN,2010,6490000
IN,2009,6459000
IN,2008,6425000
IN,2007,6380000
IN,2006,6333000
IN,2005,6279000
IN,2004,6233000
IN,2003,6197000
IN,2002,6156000
IN,2001,6128000
IN,2000,6092000
IN,1999,6045000
IN,1998,5999000
IN,1997,5955000
IN,1996,5906000
IN,1995,5851000
IN,1994,5794000
IN,1993,5739000
IN,1992,5675000
IN,1991,5616000
IN,1990,5558000
IN,1989,5524000
IN,1988,5492000
IN,1987,5473000
IN,1986,5454000
IN,1985,5459000
IN,1984,5458000
IN,1983,5450000
IN,1982,5468000
IN,1981,5480000
IN,1980,5491000
IN,1979,5501000
IN,1978,5470000
IN,1977,5426000
IN,1976,5389000
IN,1975,5366000
IN,1974,5362000
IN,1973,5338000
IN,1972,5302000
IN,1971,5253000
IN,1970,5202000
IN,1969,5143000
IN,1968,5093000
IN,1967,5053000
IN,1966,4999000
IN,1965,4922000
IN,1964,4856000
IN,1963,4799000
IN,1962,4736000
IN,1961,4730000
IN,1960,4674000
NJ,2018,8886000
NJ,2017,8886000
NJ,2016,8871000
NJ,2015,8868000
NJ,2014,8865000
NJ,2013,8857000
NJ,2012,8845000
NJ,2011,8828000
NJ,2010,8799000
NJ,2009,8756000
NJ,2008,8711000
NJ,2007,8678000
NJ,2006,8662000
NJ,2005,8652000
NJ,2004,8635000
NJ,2003,8601000
NJ,2002,8553000
NJ,2001,8493000
NJ,2000,8431000
NJ,1999,8360000
NJ,1998,8287000
NJ,1997,8219000
NJ,1996,8150000
NJ,1995,8083000
NJ,1994,8014000
NJ,1993,7949000
NJ,1992,7881000
NJ,1991,7815000
NJ,1990,7763000
NJ,1989,7726000
NJ,1988,7712000
NJ,1987,7671000
NJ,1986,7622000
NJ,1985,7566000
NJ,1984,7515000
NJ,1983,7468000
NJ,1982,7431000
NJ,1981,7407000
NJ,1980,7376000
NJ,1979,7367000
NJ,1978,7351000
NJ,1977,7337000
NJ,1976,7340000
NJ,1975,7338000
NJ,1974,7332000
NJ,1973,7333000
NJ,1972,7335000
NJ,1971,7281000
NJ,1970,7193000
NJ,1969,7095000
NJ,1968,7005000
NJ,1967,6928000
NJ,1966,6851000
NJ,1965,6767000
NJ,1964,6660000
NJ,1963,6531000
NJ,1962,6376000
NJ,1961,6265000
NJ,1960,6103000
OH,2018,11676000
OH,2017,11660000
OH,2016,11634000
OH,2015,11618000
OH,2014,11603000
OH,2013,11577000
OH,2012,11549000
OH,2011,11543000
OH,2010,11539000
OH,2009,11529000
OH,2008,11515000
OH,2007,11500000
OH,2006,11481000
OH,2005,11463000
OH,2004,11452000
OH,2003,11435000
OH,2002,11408000
OH,2001,11387000
OH,2000,11364000
OH,1999,11335000
OH,1998,11312000
OH,1997,11277000
OH,1996,11243000
OH,1995,11203000
OH,1994,11152000
OH,1993,11101000
OH,1992,11029000
OH,1991,10946000
OH,1990,10864000
OH,1989,10829000
OH,1988,10799000
OH,1987,10760000
OH,1986,10730000
OH,1985,10735000
OH,1984,10738000
OH,1983,10738000
OH,1982,10757000
OH,1981,10788000
OH,1980,10801000
OH,1979,10798000
OH,1978,10796000
OH,1977,10771000
OH,1976,10753000
OH,1975,10770000
OH,1974,10766000
OH,1973,10767000
OH,1972,10747000
OH,1971,10735000
OH,1970,10664000
OH,1969,10563000
OH,1968,10516000
OH,1967,10414000
OH,1966,10330000
OH,1965,10201000
OH,1964,10080000
OH,1963,9986000
OH,1962,9929000
OH,1961,9854000
OH,1960,9734000
IA,2018,3149000
IA,2017,3142000
IA,2016,3131000
IA,2015,3121000
IA,2014,3109000
IA,2013,3093000
IA,2012,3076000
IA,2011,3066000
IA,2010,3051000
IA,2009,3033000
IA,2008,3017000
IA,2007,2999000
IA,2006,2983000
IA,2005,2964000
IA,2004,2954000
IA,2003,2942000
IA,2002,2934000
IA,2001,2932000
IA,2000,2929000
IA,1999,2918000
IA,1998,2903000
IA,1997,2891000
IA,1996,2880000
IA,1995,2867000
IA,1994,2851000
IA,1993,2837000
IA,1992,2818000
IA,1991,2798000
IA,1990,2781000
IA,1989,2771000
IA,1988,2768000
IA,1987,2767000
IA,1986,2792000
IA,1985,2830000
IA,1984,2859000
IA,1983,2871000
IA,1982,2888000
IA,1981,2908000
IA,1980,2914000
IA,1979,2916000
IA,1978,2918000
IA,1977,2914000
IA,1976,2903000
IA,1975,2881000
IA,1974,2868000
IA,1973,2864000
IA,1972,2860000
IA,1971,2852000
IA,1970,2832000
IA,1969,2805000
IA,1968,2803000
IA,1967,2793000
IA,1966,2762000
IA,1965,2742000
IA,1964,2746000
IA,1963,2747000
IA,1962,2750000
IA,1961,2756000
IA,1960,2756000
KY,2018,4461000
KY,2017,4452000
KY,2016,4438000
KY,2015,4426000
KY,2014,4414000
KY,2013,4405000
KY,2012,4386000
KY,2011,4369000
KY,2010,4348000
KY,2009,4317000
KY,2008,4290000
KY,2007,4257000
KY,2006,4219000
KY,2005,4183000
KY,2004,4146000
KY,2003,4117000
KY,2002,4090000
KY,2001,4068000
KY,2000,4049000
KY,1999,4018000
KY,1998,3985000
KY,1997,3953000
KY,1996,3920000
KY,1995,3887000
KY,1994,3849000
KY,1993,3812000
KY,1992,3765000
KY,1991,3722000
KY,1990,3694000
KY,1989,3677000
KY,1988,3680000
KY,1987,3683000
KY,1986,3688000
KY,1985,3695000
KY,1984,3695000
KY,1983,3694000
KY,1982,3683000
KY,1981,3670000
KY,1980,3664000
KY,1979,3642000
KY,1978,3610000
KY,1977,3574000
KY,1976,3529000
KY,1975,3468000
KY,1974,3416000
KY,1973,3371000
KY,1972,3336000
KY,1971,3298000
KY,1970,3231000
KY,1969,3198000
KY,1968,3195000
KY,1967,3172000
KY,1966,3147000
KY,1965,3140000
KY,1964,3129000
KY,1963,3096000
KY,1962,3079000
KY,1961,3054000
KY,1960,3041000
CO,2018,5691000
CO,2017,5612000
CO,2016,5539000
CO,2015,5451000
CO,2014,5350000
CO,2013,5269000
CO,2012,5193000
CO,2011,5122000
CO,2010,5047000
CO,2009,4972000
CO,2008,4890000
CO,2007,4804000
CO,2006,4720000
CO,2005,4632000
CO,2004,4575000
CO,2003,4529000
CO,2002,4490000
CO,2001,4426000
CO,2000,4327000
CO,1999,4226000
CO,1998,4117000
CO,1997,4018000
CO,1996,3920000
CO,1995,3827000
CO,1994,3724000
CO,1993,3614000
CO,1992,3496000
CO,1991,3387000
CO,1990,3308000
CO,1989,3276000
CO,1988,3262000
CO,1987,3260000
CO,1986,3237000
CO,1985,3209000
CO,1984,3170000
CO,1983,3134000
CO,1982,3062000
CO,1981,2978000
CO,1980,2909000
CO,1979,2849000
CO,1978,2767000
CO,1977,2696000
CO,1976,2632000
CO,1975,2586000
CO,1974,2541000
CO,1973,2496000
CO,1972,2405000
CO,1971,2304000
CO,1970,2223000
CO,1969,2166000
CO,1968,2120000
CO,1967,2053000
CO,1966,2007000
CO,1965,1985000
CO,1964,1970000
CO,1963,1936000
CO,1962,1899000
CO,1961,1844000
CO,1960,1769000
MS,2018,2981000
MS,2017,2989000
MS,2016,2988000
MS,2015,2988000
MS,2014,2990000
MS,2013,2989000
MS,2012,2984000
MS,2011,2978000
MS,2010,2971000
MS,2009,2959000
MS,2008,2948000
MS,2007,2928000
MS,2006,2905000
MS,2005,2906000
MS,2004,2889000
MS,2003,2868000
MS,2002,2859000
MS,2001,2853000
MS,2000,2848000
MS,1999,2828000
MS,1998,2805000
MS,1997,2777000
MS,1996,2748000
MS,1995,2723000
MS,1994,2689000
MS,1993,2655000
MS,1992,2624000
MS,1991,2599000
MS,1990,2579000
MS,1989,2574000
MS,1988,2580000
MS,1987,2589000
MS,1986,2594000
MS,1985,2588000
MS,1984,2578000
MS,1983,2568000
MS,1982,2557000
MS,1981,2539000
MS,1980,2525000
MS,1979,2507000
MS,1978,2488000
MS,1977,2459000
MS,1976,2430000
MS,1975,2399000
MS,1974,2378000
MS,1973,2350000
MS,1972,2307000
MS,1971,2265000
MS,1970,2220000
MS,1969,2220000
MS,1968,2219000
MS,1967,2228000
MS,1966,2245000
MS,1965,2246000
MS,1964,2241000
MS,1963,2244000
MS,1962,2243000
MS,1961,2206000
MS,1960,2182000
FL,2018,21244000
FL,2017,20964000
FL,2016,20613000
FL,2015,20209000
FL,2014,19846000
FL,2013,19546000
FL,2012,19298000
FL,2011,19093000
FL,2010,18846000
FL,2009,18653000
FL,2008,18527000
FL,2007,18368000
FL,2006,18167000
FL,2005,17842000
FL,2004,17415000
FL,2003,17004000
FL,2002,16689000
FL,2001,16357000
FL,2000,16048000
FL,1999,15759000
FL,1998,15487000
FL,1997,15186000
FL,1996,14853000
FL,1995,14538000
FL,1994,14239000
FL,1993,13927000
FL,1992,13651000
FL,1991,13370000
FL,1990,13033000
FL,1989,12638000
FL,1988,12306000
FL,1987,11997000
FL,1986,11668000
FL,1985,11351000
FL,1984,11040000
FL,1983,10750000
FL,1982,10471000
FL,1981,10193000
FL,1980,9840000
FL,1979,9426000
FL,1978,9102000
FL,1977,8856000
FL,1976,8667000
FL,1975,8518000
FL,1974,8299000
FL,1973,7914000
FL,1972,7511000
FL,1971,7158000
FL,1970,6848000
FL,1969,6641000
FL,1968,6433000
FL,1967,6242000
FL,1966,6104000
FL,1965,5954000
FL,1964,5781000
FL,1963,5628000
FL,1962,5458000
FL,1961,5243000
FL,1960,5004000
AR,2018,3010000
AR,2017,3001000
AR,2016,2990000
AR,2015,2978000
AR,2014,2967000
AR,2013,2959000
AR,2012,2952000
AR,2011,2940000
AR,2010,2922000
AR,2009,2897000
AR,2008,2875000
AR,2007,2849000
AR,2006,2822000
AR,2005,2781000
AR,2004,2750000
AR,2003,2725000
AR,2002,2706000
AR,2001,2692000
AR,2000,2679000
AR,1999,2652000
AR,1998,2626000
AR,1997,2601000
AR,1996,2572000
AR,1995,2535000
AR,1994,2494000
AR,1993,2456000
AR,1992,2416000
AR,1991,2383000
AR,1990,2357000
AR,1989,2346000
AR,1988,2343000
AR,1987,2342000
AR,1986,2332000
AR,1985,2327000
AR,1984,2320000
AR,1983,2306000
AR,1982,2294000
AR,1981,2293000
AR,1980,2289000
AR,1979,2271000
AR,1978,2243000
AR,1977,2209000
AR,1976,2170000
AR,1975,2160000
AR,1974,2101000
AR,1973,2059000
AR,1972,2019000
AR,1971,1972000
AR,1970,1932000
AR,1969,1913000
AR,1968,1902000
AR,1967,1901000
AR,1966,1899000
AR,1965,1894000
AR,1964,1897000
AR,1963,1875000
AR,1962,1853000
AR,1961,1806000
AR,1960,1789000
VA,2018,8501000
VA,2017,8464000
VA,2016,8410000
VA,2015,8362000
VA,2014,8311000
VA,2013,8252000
VA,2012,8185000
VA,2011,8100000
VA,2010,8024000
VA,2009,7926000
VA,2008,7833000
VA,2007,7751000
VA,2006,7674000
VA,2005,7577000
VA,2004,7476000
VA,2003,7367000
VA,2002,7287000
VA,2001,7198000
VA,2000,7106000
VA,1999,7000000
VA,1998,6901000
VA,1997,6829000
VA,1996,6751000
VA,1995,6671000
VA,1994,6593000
VA,1993,6510000
VA,1992,6414000
VA,1991,6301000
VA,1990,6217000
VA,1989,6120000
VA,1988,6037000
VA,1987,5932000
VA,1986,5812000
VA,1985,5715000
VA,1984,5644000
VA,1983,5565000
VA,1982,5493000
VA,1981,5444000
VA,1980,5368000
VA,1979,5308000
VA,1978,5270000
VA,1977,5193000
VA,1976,5122000
VA,1975,5047000
VA,1974,4971000
VA,1973,4901000
VA,1972,4824000
VA,1971,4751000
VA,1970,4659000
VA,1969,4614000
VA,1968,4558000
VA,1967,4508000
